RESIDENTS BY REGION,Country or Area,COUNTRY.OF.RESIDENCE
OTHER COUNTRIES,Algeria,DZA
OTHER COUNTRIES,Egypt,EGY
OTHER COUNTRIES,Libya,LBY
OTHER COUNTRIES,Morocco,MAR
OTHER COUNTRIES,Sudan,SDN
OTHER COUNTRIES,Tunisia,TUN
OTHER COUNTRIES,Western Sahara,ESH
OTHER COUNTRIES,British Indian Ocean Territory,IOT
OTHER COUNTRIES,Burundi,BDI
OTHER COUNTRIES,Comoros,COM
OTHER COUNTRIES,Djibouti,DJI
OTHER COUNTRIES,Eritrea,ERI
OTHER COUNTRIES,Ethiopia,ETH
OTHER COUNTRIES,French Southern Territories,ATF
OTHER COUNTRIES,Kenya,KEN
OTHER COUNTRIES,Madagascar,MDG
OTHER COUNTRIES,Malawi,MWI
OTHER COUNTRIES,Mauritius,MUS
OTHER COUNTRIES,Mayotte,MYT
OTHER COUNTRIES,Mozambique,MOZ
OTHER COUNTRIES,Réunion,REU
OTHER COUNTRIES,Rwanda,RWA
OTHER COUNTRIES,Seychelles,SYC
OTHER COUNTRIES,Somalia,SOM
OTHER COUNTRIES,South Sudan,SSD
OTHER COUNTRIES,Uganda,UGA
OTHER COUNTRIES,United Republic of Tanzania,TZA
OTHER COUNTRIES,Zambia,ZMB
OTHER COUNTRIES,Zimbabwe,ZWE
OTHER COUNTRIES,Angola,AGO
OTHER COUNTRIES,Cameroon,CMR
OTHER COUNTRIES,Central African Republic,CAF
OTHER COUNTRIES,Chad,TCD
OTHER COUNTRIES,Congo,COG
OTHER COUNTRIES,Democratic Republic of the Congo,COD
OTHER COUNTRIES,Equatorial Guinea,GNQ
OTHER COUNTRIES,Gabon,GAB
OTHER COUNTRIES,Sao Tome and Principe,STP
OTHER COUNTRIES,Botswana,BWA
OTHER COUNTRIES,Eswatini,SWZ
OTHER COUNTRIES,Lesotho,LSO
OTHER COUNTRIES,Namibia,NAM
OTHER COUNTRIES,South Africa,ZAF
OTHER COUNTRIES,Benin,BEN
OTHER COUNTRIES,Burkina Faso,BFA
OTHER COUNTRIES,Cabo Verde,CPV
OTHER COUNTRIES,Côte d’Ivoire,CIV
OTHER COUNTRIES,Gambia,GMB
OTHER COUNTRIES,Ghana,GHA
OTHER COUNTRIES,Guinea,GIN
OTHER COUNTRIES,Guinea-Bissau,GNB
OTHER COUNTRIES,Liberia,LBR
OTHER COUNTRIES,Mali,MLI
OTHER COUNTRIES,Mauritania,MRT
OTHER COUNTRIES,Niger,NER
OTHER COUNTRIES,Nigeria,NGA
OTHER COUNTRIES,Saint Helena,SHN
OTHER COUNTRIES,Senegal,SEN
OTHER COUNTRIES,Sierra Leone,SLE
OTHER COUNTRIES,Togo,TGO
OTHER COUNTRIES,Anguilla,AIA
OTHER COUNTRIES,Antigua and Barbuda,ATG
OTHER COUNTRIES,Aruba,ABW
OTHER COUNTRIES,Bahamas,BHS
OTHER COUNTRIES,Barbados,BRB
OTHER COUNTRIES,"Bonaire, Sint Eustatius and Saba",BES
OTHER COUNTRIES,British Virgin Islands,VGB
OTHER COUNTRIES,Cayman Islands,CYM
OTHER COUNTRIES,Cuba,CUB
OTHER COUNTRIES,Curaçao,CUW
OTHER COUNTRIES,Dominica,DMA
OTHER COUNTRIES,Dominican Republic,DOM
OTHER COUNTRIES,Grenada,GRD
OTHER COUNTRIES,Guadeloupe,GLP
OTHER COUNTRIES,Haiti,HTI
OTHER COUNTRIES,Jamaica,JAM
OTHER COUNTRIES,Martinique,MTQ
OTHER COUNTRIES,Montserrat,MSR
OTHER COUNTRIES,Puerto Rico,PRI
OTHER COUNTRIES,Saint Barthélemy,BLM
OTHER COUNTRIES,Saint Kitts and Nevis,KNA
OTHER COUNTRIES,Saint Lucia,LCA
OTHER COUNTRIES,Saint Martin (French Part),MAF
OTHER COUNTRIES,Saint Vincent and the Grenadines,VCT
OTHER COUNTRIES,Sint Maarten (Dutch part),SXM
OTHER COUNTRIES,Trinidad and Tobago,TTO
OTHER COUNTRIES,Turks and Caicos Islands,TCA
OTHER COUNTRIES,United States Virgin Islands,VIR
OTHER COUNTRIES,Belize,BLZ
OTHER COUNTRIES,Costa Rica,CRI
OTHER COUNTRIES,El Salvador,SLV
OTHER COUNTRIES,Guatemala,GTM
OTHER COUNTRIES,Honduras,HND
OTHER COUNTRIES,Mexico,MEX
OTHER COUNTRIES,Nicaragua,NIC
OTHER COUNTRIES,Panama,PAN
OTHER COUNTRIES,Argentina,ARG
OTHER COUNTRIES,Bolivia (Plurinational State of),BOL
OTHER COUNTRIES,Bouvet Island,BVT
OTHER COUNTRIES,Brazil,BRA
OTHER COUNTRIES,Chile,CHL
OTHER COUNTRIES,Colombia,COL
OTHER COUNTRIES,Ecuador,ECU
OTHER COUNTRIES,Falkland Islands (Malvinas),FLK
OTHER COUNTRIES,French Guiana,GUF
OTHER COUNTRIES,Guyana,GUY
OTHER COUNTRIES,Paraguay,PRY
OTHER COUNTRIES,Peru,PER
OTHER COUNTRIES,South Georgia and the South Sandwich Islands,SGS
OTHER COUNTRIES,Suriname,SUR
OTHER COUNTRIES,Uruguay,URY
OTHER COUNTRIES,Venezuela (Bolivarian Republic of),VEN
NORTH AMERICA,Bermuda,BMU
NORTH AMERICA,Canada,CAN
NORTH AMERICA,Greenland,GRL
NORTH AMERICA,Saint Pierre and Miquelon,SPM
NORTH AMERICA,United States of America,USA
NORTH AMERICA,Antarctica,ATA
OTHER COUNTRIES,Kazakhstan,KAZ
OTHER COUNTRIES,Kyrgyzstan,KGZ
OTHER COUNTRIES,Tajikistan,TJK
OTHER COUNTRIES,Turkmenistan,TKM
OTHER COUNTRIES,Uzbekistan,UZB
ASIAN,China,CHN
ASIAN,"China, Hong Kong Special Administrative Region",HKG
ASIAN,"China, Macao Special Administrative Region",MAC
ASIAN,Democratic People's Republic of Korea,PRK
ASIAN,Japan,JPN
ASIAN,Mongolia,MNG
ASIAN,Republic of Korea,KOR
ASIAN,Brunei Darussalam,BRN
ASIAN,Cambodia,KHM
ASIAN,Indonesia,IDN
ASIAN,Lao People's Democratic Republic,LAO
ASIAN,Malaysia,MYS
ASIAN,Myanmar,MMR
ASIAN,Philippines,PHL
ASIAN,Singapore,SGP
ASIAN,Thailand,THA
ASIAN,Timor-Leste,TLS
ASIAN,Viet Nam,VNM
ASIAN,Afghanistan,AFG
ASIAN,Bangladesh,BGD
ASIAN,Bhutan,BTN
ASIAN,India,IND
ASIAN,Iran (Islamic Republic of),IRN
ASIAN,Maldives,MDV
ASIAN,Nepal,NPL
ASIAN,Pakistan,PAK
ASIAN,Sri Lanka,LKA
ASIAN,Armenia,ARM
ASIAN,Azerbaijan,AZE
ASIAN,Bahrain,BHR
ASIAN,Cyprus,CYP
ASIAN,Georgia,GEO
ASIAN,Iraq,IRQ
ASIAN,Israel,ISR
ASIAN,Jordan,JOR
ASIAN,Kuwait,KWT
ASIAN,Lebanon,LBN
ASIAN,Oman,OMN
ASIAN,Qatar,QAT
ASIAN,Saudi Arabia,SAU
ASIAN,State of Palestine,PSE
ASIAN,Syrian Arab Republic,SYR
ASIAN,Turkey,TUR
ASIAN,United Arab Emirates,ARE
ASIAN,Yemen,YEM
OTHER COUNTRIES,Belarus,BLR
OTHER COUNTRIES,Bulgaria,BGR
OTHER COUNTRIES,Czechia,CZE
OTHER COUNTRIES,Hungary,HUN
OTHER COUNTRIES,Poland,POL
OTHER COUNTRIES,Republic of Moldova,MDA
OTHER COUNTRIES,Romania,ROU
OTHER COUNTRIES,Russian Federation,RUS
OTHER COUNTRIES,Slovakia,SVK
OTHER COUNTRIES,Ukraine,UKR
OTHER COUNTRIES,Åland Islands,ALA
OTHER COUNTRIES,Guernsey,GGY
OTHER COUNTRIES,Jersey,JEY
OTHER COUNTRIES,Sark,
OTHER COUNTRIES,Denmark,DNK
OTHER COUNTRIES,Estonia,EST
OTHER COUNTRIES,Faroe Islands,FRO
OTHER COUNTRIES,Finland,FIN
OTHER COUNTRIES,Iceland,ISL
OTHER COUNTRIES,Ireland,IRL
OTHER COUNTRIES,Isle of Man,IMN
OTHER COUNTRIES,Latvia,LVA
OTHER COUNTRIES,Lithuania,LTU
OTHER COUNTRIES,Norway,NOR
OTHER COUNTRIES,Svalbard and Jan Mayen Islands,SJM
OTHER COUNTRIES,Sweden,SWE
BRITISH,United Kingdom of Great Britain and Northern Ireland National (Overseas),GBN
BRITISH,United Kingdom of Great Britain and Northern Ireland,GBR
OTHER COUNTRIES,Albania,ALB
OTHER COUNTRIES,Andorra,AND
OTHER COUNTRIES,Bosnia and Herzegovina,BIH
OTHER COUNTRIES,Croatia,HRV
OTHER COUNTRIES,Gibraltar,GIB
OTHER COUNTRIES,Greece,GRC
OTHER COUNTRIES,Holy See,VAT
OTHER COUNTRIES,Italy,ITA
OTHER COUNTRIES,Malta,MLT
OTHER COUNTRIES,Montenegro,MNE
OTHER COUNTRIES,North Macedonia,MKD
OTHER COUNTRIES,Portugal,PRT
OTHER COUNTRIES,San Marino,SMR
OTHER COUNTRIES,Serbia,SRB
OTHER COUNTRIES,Slovenia,SVN
OTHER COUNTRIES,Spain,ESP
OTHER COUNTRIES,Austria,AUT
OTHER COUNTRIES,Belgium,BEL
FRENCH,France,FRA
OTHER COUNTRIES,Germany,DEU
OTHER COUNTRIES,Liechtenstein,LIE
OTHER COUNTRIES,Luxembourg,LUX
OTHER COUNTRIES,Monaco,MCO
OTHER COUNTRIES,Netherlands,NLD
OTHER COUNTRIES,Switzerland,CHE
AUSTRALIA,Australia,AUS
PACIFIC ISLANDER,Christmas Island,CXR
PACIFIC ISLANDER,Cocos (Keeling) Islands,CCK
PACIFIC ISLANDER,Heard Island and McDonald Islands,HMD
NEW ZEALAND,New Zealand,NZL
PACIFIC ISLANDER,Norfolk Island,NFK
PACIFIC ISLANDER,Fiji,FJI
FRENCH,New Caledonia,NCL
PACIFIC ISLANDER,Papua New Guinea,PNG
PACIFIC ISLANDER,Solomon Islands,SLB
NI-VANUATU,Vanuatu,VUT
PACIFIC ISLANDER,Guam,GUM
PACIFIC ISLANDER,Kiribati,KIR
PACIFIC ISLANDER,Marshall Islands,MHL
PACIFIC ISLANDER,Micronesia (Federated States of),FSM
PACIFIC ISLANDER,Nauru,NRU
PACIFIC ISLANDER,Northern Mariana Islands,MNP
PACIFIC ISLANDER,Palau,PLW
PACIFIC ISLANDER,United States Minor Outlying Islands,UMI
PACIFIC ISLANDER,American Samoa,ASM
PACIFIC ISLANDER,Cook Islands,COK
PACIFIC ISLANDER,French Polynesia,PYF
PACIFIC ISLANDER,Niue,NIU
PACIFIC ISLANDER,Pitcairn,PCN
PACIFIC ISLANDER,Samoa,WSM
PACIFIC ISLANDER,Tokelau,TKL
PACIFIC ISLANDER,Tonga,TON
PACIFIC ISLANDER,Tuvalu,TUV
PACIFIC ISLANDER,Wallis and Futuna Islands,WLF
