IslandName,OuterIsland_LOS
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,12
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,2
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
68. LELEPA,0
71. MOSO,5
71. MOSO,2
71. MOSO,0
71. MOSO,4
71. MOSO,4
71. MOSO,8
71. MOSO,8
71. MOSO,7
71. MOSO,6
71. MOSO,7
71. MOSO,4
71. MOSO,3
71. MOSO,8
71. MOSO,8
71. MOSO,8
71. MOSO,8
71. MOSO,0
71. MOSO,0
71. MOSO,0
71. MOSO,7
71. MOSO,7
71. MOSO,5
71. MOSO,4
71. MOSO,9
71. MOSO,10
71. MOSO,9
71. MOSO,5
71. MOSO,0
71. MOSO,0
71. MOSO,0
71. MOSO,7
71. MOSO,0
71. MOSO,2
71. MOSO,0
71. MOSO,10
71. MOSO,9
71. MOSO,7
71. MOSO,4
71. MOSO,5
71. MOSO,0
71. MOSO,0
71. MOSO,7
71. MOSO,0
71. MOSO,10
71. MOSO,8
71. MOSO,8
71. MOSO,0
71. MOSO,0
71. MOSO,0
71. MOSO,0
71. MOSO,3
71. MOSO,0
71. MOSO,10
71. MOSO,9
71. MOSO,8
71. MOSO,8
71. MOSO,3
71. MOSO,2
72. NGUNA,0
72. NGUNA,0
72. NGUNA,0
72. NGUNA,0
72. NGUNA,0
72. NGUNA,0
72. NGUNA,0
72. NGUNA,0
72. NGUNA,5
72. NGUNA,2
72. NGUNA,1
72. NGUNA,2
72. NGUNA,1
72. NGUNA,0
72. NGUNA,0
72. NGUNA,0
72. NGUNA,0
72. NGUNA,0
72. NGUNA,0
72. NGUNA,0
72. NGUNA,5
72. NGUNA,2
72. NGUNA,2
72. NGUNA,1
72. NGUNA,2
72. NGUNA,2
72. NGUNA,0
72. NGUNA,0
72. NGUNA,0
72. NGUNA,0
72. NGUNA,0
72. NGUNA,0
72. NGUNA,1
72. NGUNA,5
72. NGUNA,5
72. NGUNA,1
72. NGUNA,1
72. NGUNA,2
72. NGUNA,3
72. NGUNA,3
72. NGUNA,0
73. PELE,0
73. PELE,0
73. PELE,3
73. PELE,0
73. PELE,0
73. PELE,0
73. PELE,1
73. PELE,3
73. PELE,2
73. PELE,2
73. PELE,2
73. PELE,2
73. PELE,0
73. PELE,3
73. PELE,0
73. PELE,0
73. PELE,0
73. PELE,0
73. PELE,1
73. PELE,1
73. PELE,0
73. PELE,0
73. PELE,0
73. PELE,0
73. PELE,0
73. PELE,0
73. PELE,1
73. PELE,0
73. PELE,1
73. PELE,0
73. PELE,2
73. PELE,0
73. PELE,0
73. PELE,0
73. PELE,1
73. PELE,0
73. PELE,0
73. PELE,0
73. PELE,0
73. PELE,0
73. PELE,0
73. PELE,0
73. PELE,0
73. PELE,3
73. PELE,0
73. PELE,2
73. PELE,0
73. PELE,0
73. PELE,0
73. PELE,1
73. PELE,1
73. PELE,0
73. PELE,0
73. PELE,1
73. PELE,0
73. PELE,0
73. PELE,0
73. PELE,0
73. PELE,2
73. PELE,3
73. PELE,0
73. PELE,1
73. PELE,1
73. PELE,0
73. PELE,2
73. PELE,0
73. PELE,0
75. TONGOA,2
75. TONGOA,2
76. ANEITYUM,2
76. ANEITYUM,2
76. ANEITYUM,0
76. ANEITYUM,2
76. ANEITYUM,8
76. ANEITYUM,1
76. ANEITYUM,12
76. ANEITYUM,10
76. ANEITYUM,7
76. ANEITYUM,5
77. ANIWA,2
77. ANIWA,5
78. ERROMANGO,2
78. ERROMANGO,2
78. ERROMANGO,4
78. ERROMANGO,0
80. TANNA,2
80. TANNA,1
80. TANNA,1
80. TANNA,2
80. TANNA,2
80. TANNA,3
80. TANNA,1
80. TANNA,2
80. TANNA,1
80. TANNA,3
80. TANNA,2
80. TANNA,2
80. TANNA,1
80. TANNA,2
80. TANNA,7
80. TANNA,7
80. TANNA,0
80. TANNA,4
80. TANNA,2
80. TANNA,0
80. TANNA,2
80. TANNA,1
80. TANNA,0
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,1
80. TANNA,2
80. TANNA,7
80. TANNA,6
80. TANNA,0
80. TANNA,4
80. TANNA,2
80. TANNA,0
80. TANNA,0
80. TANNA,1
80. TANNA,0
80. TANNA,0
80. TANNA,0
80. TANNA,1
80. TANNA,15
80. TANNA,4
80. TANNA,3
80. TANNA,2
80. TANNA,1
80. TANNA,2
80. TANNA,4
80. TANNA,3
80. TANNA,3
80. TANNA,2
80. TANNA,8
80. TANNA,1
80. TANNA,1
80. TANNA,2
80. TANNA,3
80. TANNA,5
80. TANNA,18
80. TANNA,2
80. TANNA,2
80. TANNA,1
80. TANNA,1
80. TANNA,1
80. TANNA,4
80. TANNA,6
80. TANNA,2
80. TANNA,0
80. TANNA,3
80. TANNA,2
80. TANNA,0
80. TANNA,1
80. TANNA,5
80. TANNA,1
80. TANNA,4
80. TANNA,3
80. TANNA,2
80. TANNA,10
80. TANNA,3
80. TANNA,7
80. TANNA,2
80. TANNA,3
80. TANNA,3
80. TANNA,2
80. TANNA,10
80. TANNA,4
80. TANNA,9
80. TANNA,3
80. TANNA,2
80. TANNA,3
80. TANNA,3
80. TANNA,2
80. TANNA,1
80. TANNA,9
80. TANNA,7
80. TANNA,0
80. TANNA,5
80. TANNA,3
80. TANNA,10
80. TANNA,4
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,4
80. TANNA,3
80. TANNA,18
80. TANNA,1
80. TANNA,6
80. TANNA,3
80. TANNA,10
80. TANNA,10
80. TANNA,7
80. TANNA,1
80. TANNA,1
80. TANNA,0
80. TANNA,0
80. TANNA,1
80. TANNA,300
80. TANNA,300
80. TANNA,2
80. TANNA,6
80. TANNA,4
80. TANNA,3
80. TANNA,3
80. TANNA,3
80. TANNA,2
80. TANNA,3
80. TANNA,1
80. TANNA,3
80. TANNA,7
80. TANNA,2
80. TANNA,4
80. TANNA,7
80. TANNA,4
80. TANNA,1
80. TANNA,3
80. TANNA,3
80. TANNA,0
80. TANNA,2
80. TANNA,1
80. TANNA,6
80. TANNA,1
80. TANNA,2
80. TANNA,2
80. TANNA,5
80. TANNA,1
80. TANNA,2
80. TANNA,2
80. TANNA,1
80. TANNA,2
80. TANNA,7
80. TANNA,4
80. TANNA,2
80. TANNA,1
80. TANNA,3
80. TANNA,1
80. TANNA,5
80. TANNA,7
80. TANNA,0
80. TANNA,0
80. TANNA,7
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,1
80. TANNA,2
80. TANNA,3
80. TANNA,2
80. TANNA,0
80. TANNA,0
80. TANNA,1
80. TANNA,1
80. TANNA,2
80. TANNA,3
80. TANNA,1
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,7
80. TANNA,2
80. TANNA,20
80. TANNA,0
80. TANNA,4
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,0
80. TANNA,4
80. TANNA,3
80. TANNA,2
80. TANNA,0
80. TANNA,3
80. TANNA,0
80. TANNA,0
80. TANNA,1
80. TANNA,0
80. TANNA,6
80. TANNA,2
80. TANNA,4
80. TANNA,5
80. TANNA,0
80. TANNA,0
80. TANNA,4
80. TANNA,3
80. TANNA,2
80. TANNA,2
80. TANNA,1
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,5
80. TANNA,5
80. TANNA,3
80. TANNA,3
80. TANNA,1
80. TANNA,1
80. TANNA,1
80. TANNA,1
80. TANNA,180
80. TANNA,2
80. TANNA,2
80. TANNA,6
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,0
80. TANNA,5
80. TANNA,2
80. TANNA,3
80. TANNA,0
80. TANNA,4
80. TANNA,2
80. TANNA,4
80. TANNA,3
80. TANNA,3
80. TANNA,4
80. TANNA,3
80. TANNA,5
80. TANNA,12
80. TANNA,5
80. TANNA,1
80. TANNA,2
80. TANNA,2
80. TANNA,9
80. TANNA,3
80. TANNA,2
80. TANNA,1
80. TANNA,1
80. TANNA,1
80. TANNA,2
80. TANNA,1
80. TANNA,5
80. TANNA,5
80. TANNA,7
80. TANNA,2
80. TANNA,3
80. TANNA,4
80. TANNA,3
80. TANNA,0
80. TANNA,11
80. TANNA,3
80. TANNA,1
80. TANNA,1
80. TANNA,10
80. TANNA,3
80. TANNA,7
80. TANNA,1
80. TANNA,2
80. TANNA,1
80. TANNA,300
80. TANNA,300
80. TANNA,4
80. TANNA,5
80. TANNA,1
80. TANNA,3
80. TANNA,3
80. TANNA,0
80. TANNA,2
80. TANNA,2
80. TANNA,1
80. TANNA,2
80. TANNA,6
80. TANNA,2
80. TANNA,6
80. TANNA,2
80. TANNA,20
80. TANNA,1
80. TANNA,1
80. TANNA,4
80. TANNA,2
80. TANNA,4
80. TANNA,4
80. TANNA,4
80. TANNA,1
80. TANNA,4
80. TANNA,16
80. TANNA,2
80. TANNA,6
80. TANNA,1
80. TANNA,2
80. TANNA,3
80. TANNA,4
80. TANNA,2
80. TANNA,4
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,8
80. TANNA,1
80. TANNA,1
80. TANNA,0
80. TANNA,8
80. TANNA,3
80. TANNA,5
80. TANNA,1
80. TANNA,2
80. TANNA,1
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,3
80. TANNA,270
80. TANNA,0
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,3
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,0
80. TANNA,2
80. TANNA,4
80. TANNA,2
80. TANNA,1
80. TANNA,7
80. TANNA,5
80. TANNA,1
80. TANNA,1
80. TANNA,0
80. TANNA,0
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,1
80. TANNA,4
80. TANNA,3
80. TANNA,3
80. TANNA,2
80. TANNA,1
80. TANNA,4
80. TANNA,4
80. TANNA,3
80. TANNA,2
80. TANNA,1
80. TANNA,4
80. TANNA,2
80. TANNA,5
80. TANNA,2
80. TANNA,3
80. TANNA,1
80. TANNA,7
80. TANNA,0
80. TANNA,0
80. TANNA,0
80. TANNA,0
80. TANNA,2
80. TANNA,2
80. TANNA,6
80. TANNA,4
80. TANNA,2
80. TANNA,4
80. TANNA,1
80. TANNA,4
80. TANNA,2
80. TANNA,2
80. TANNA,0
80. TANNA,1
80. TANNA,0
80. TANNA,2
80. TANNA,1
80. TANNA,3
80. TANNA,3
80. TANNA,1
80. TANNA,0
80. TANNA,2
80. TANNA,4
80. TANNA,8
80. TANNA,5
80. TANNA,15
80. TANNA,6
80. TANNA,3
80. TANNA,2
80. TANNA,2
80. TANNA,3
80. TANNA,3
80. TANNA,3
80. TANNA,2
80. TANNA,2
80. TANNA,3
80. TANNA,1
80. TANNA,5
80. TANNA,4
80. TANNA,4
80. TANNA,1
80. TANNA,1
80. TANNA,6
80. TANNA,150
80. TANNA,0
80. TANNA,28
80. TANNA,2
80. TANNA,2
80. TANNA,0
80. TANNA,1
80. TANNA,1
80. TANNA,3
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,1
80. TANNA,2
80. TANNA,3
80. TANNA,2
80. TANNA,0
80. TANNA,1
80. TANNA,1
80. TANNA,4
80. TANNA,2
80. TANNA,2
80. TANNA,335
80. TANNA,2
80. TANNA,2
80. TANNA,3
80. TANNA,1
80. TANNA,30
80. TANNA,2
80. TANNA,3
80. TANNA,9
80. TANNA,2
80. TANNA,1
80. TANNA,1
80. TANNA,1
80. TANNA,0
80. TANNA,5
80. TANNA,4
80. TANNA,3
80. TANNA,3
80. TANNA,0
80. TANNA,11
80. TANNA,3
80. TANNA,1
80. TANNA,4
80. TANNA,3
80. TANNA,10
80. TANNA,3
80. TANNA,2
80. TANNA,4
80. TANNA,300
80. TANNA,1
80. TANNA,2
80. TANNA,6
80. TANNA,7
80. TANNA,2
80. TANNA,3
80. TANNA,3
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,300
80. TANNA,2
80. TANNA,2
80. TANNA,6
80. TANNA,3
80. TANNA,1
80. TANNA,20
80. TANNA,2
80. TANNA,4
80. TANNA,2
80. TANNA,2
80. TANNA,3
80. TANNA,7
80. TANNA,1
80. TANNA,6
80. TANNA,1
80. TANNA,1
80. TANNA,3
80. TANNA,2
80. TANNA,0
80. TANNA,4
80. TANNA,2
80. TANNA,3
80. TANNA,2
80. TANNA,3
80. TANNA,2
80. TANNA,2
80. TANNA,8
80. TANNA,2
80. TANNA,1
80. TANNA,1
80. TANNA,3
80. TANNA,2
80. TANNA,0
80. TANNA,1
80. TANNA,1
80. TANNA,4
80. TANNA,4
80. TANNA,3
80. TANNA,2
80. TANNA,0
80. TANNA,8
80. TANNA,3
80. TANNA,2
80. TANNA,0
80. TANNA,3
80. TANNA,1
80. TANNA,8
80. TANNA,2
80. TANNA,7
80. TANNA,7
80. TANNA,1
80. TANNA,3
80. TANNA,3
80. TANNA,300
80. TANNA,2
80. TANNA,1
80. TANNA,1
80. TANNA,1
80. TANNA,6
80. TANNA,10
80. TANNA,5
80. TANNA,2
80. TANNA,4
80. TANNA,1
80. TANNA,3
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,3
80. TANNA,0
80. TANNA,1
80. TANNA,1
80. TANNA,1
80. TANNA,3
80. TANNA,4
80. TANNA,1
80. TANNA,2
80. TANNA,2
80. TANNA,3
80. TANNA,3
80. TANNA,2
80. TANNA,5
80. TANNA,2
80. TANNA,1
80. TANNA,6
80. TANNA,2
80. TANNA,4
80. TANNA,3
80. TANNA,1
80. TANNA,7
80. TANNA,3
80. TANNA,2
80. TANNA,1
80. TANNA,1
80. TANNA,6
80. TANNA,6
80. TANNA,1
80. TANNA,3
80. TANNA,0
80. TANNA,0
80. TANNA,4
80. TANNA,1
80. TANNA,2
80. TANNA,1
80. TANNA,2
80. TANNA,1
80. TANNA,2
80. TANNA,2
80. TANNA,1
80. TANNA,3
80. TANNA,4
80. TANNA,0
80. TANNA,2
80. TANNA,2
80. TANNA,3
80. TANNA,3
80. TANNA,3
80. TANNA,5
80. TANNA,6
80. TANNA,6
80. TANNA,2
80. TANNA,3
80. TANNA,2
80. TANNA,1
80. TANNA,4
80. TANNA,18
80. TANNA,5
80. TANNA,0
80. TANNA,1
80. TANNA,1
80. TANNA,6
80. TANNA,2
80. TANNA,1
80. TANNA,1
80. TANNA,1
80. TANNA,2
80. TANNA,2
80. TANNA,6
80. TANNA,7
80. TANNA,5
80. TANNA,5
80. TANNA,2
80. TANNA,3
80. TANNA,2
80. TANNA,3
80. TANNA,4
80. TANNA,3
80. TANNA,0
80. TANNA,3
80. TANNA,0
80. TANNA,2
80. TANNA,3
80. TANNA,5
80. TANNA,2
80. TANNA,2
80. TANNA,3
80. TANNA,4
80. TANNA,3
80. TANNA,2
80. TANNA,9
80. TANNA,1
80. TANNA,1
80. TANNA,4
80. TANNA,2
80. TANNA,7
80. TANNA,8
80. TANNA,10
80. TANNA,210
80. TANNA,4
80. TANNA,1
80. TANNA,2
80. TANNA,2
80. TANNA,0
80. TANNA,3
80. TANNA,0
80. TANNA,2
80. TANNA,2
80. TANNA,0
80. TANNA,6
80. TANNA,2
80. TANNA,2
80. TANNA,1
80. TANNA,1
80. TANNA,1
80. TANNA,1
80. TANNA,2
80. TANNA,7
80. TANNA,7
80. TANNA,1
80. TANNA,2
80. TANNA,3
80. TANNA,3
80. TANNA,1
80. TANNA,1
80. TANNA,1
80. TANNA,3
80. TANNA,7
80. TANNA,1
80. TANNA,2
80. TANNA,2
80. TANNA,2
80. TANNA,1
80. TANNA,2
80. TANNA,2
80. TANNA,0
80. TANNA,2
80. TANNA,8
80. TANNA,1
80. TANNA,2
80. TANNA,3
80. TANNA,4
80. TANNA,4
80. TANNA,8
80. TANNA,1
80. TANNA,2
80. TANNA,2
80. TANNA,3
80. TANNA,10
80. TANNA,4
80. TANNA,4
80. TANNA,3
80. TANNA,2
80. TANNA,4
80. TANNA,1
80. TANNA,1
80. TANNA,1
80. TANNA,2
80. TANNA,2
80. TANNA,0
80. TANNA,7
80. TANNA,2
80. TANNA,7
80. TANNA,3
80. TANNA,2
80. TANNA,2
80. TANNA,3
80. TANNA,3
80. TANNA,1
80. TANNA,90
80. TANNA,1
80. TANNA,1
80. TANNA,6
80. TANNA,7
80. TANNA,1
80. TANNA,1
80. TANNA,2
82. IRIRIKI,4
82. IRIRIKI,4
82. IRIRIKI,9
82. IRIRIKI,9
82. IRIRIKI,4
82. IRIRIKI,4
82. IRIRIKI,4
82. IRIRIKI,4
82. IRIRIKI,9
82. IRIRIKI,4
82. IRIRIKI,4
82. IRIRIKI,4